;Track;Key;BPM
;Cobrastyle;7A;178.00
;Go;9A;126.03
;Always on My Mind;9B;125.01
;Indestructible;10A;122.12
;Boten Anna - Radio edit;8A;140.00
;Romeo;11A;126.86
;Life;7B;124.00
;Scream & Shout;9A;106.52
;BREAK MY SOUL;1A;115.00
;How Much Is The Fish?;7A;140.00
;A Little Less Conversation - JXL Radio Edit Remix;12B;115.02
;The Weekend - Radio Edit;10A;127.01
;Pump It;9A;153.62
;Praise You;4B;109.67
;One More Time;10B;122.88
;Rock That Body;7A;125.00
;Day 'N' Nite - Crookers Remix;11A;130.00
;Sweet Dreams (Are Made of This) - 2005 Remaster;5A;125.15
;Just Dance;12B;119.00
;Dancing on My Own;2B;117.00
;Hang with Me;10B;115.00
;Virtual Reality;8A;147.88
;L'Amour Toujours;10B;139.06
;Don't You Want Me;8A;117.76
;I Gotta Feeling;8B;128.00
;Lola's Theme - Radio Edit;8B;124.00
;Speed Drive;8B;173.95
;Tainted Love;6A;143.44
;Blue Monday '88;7A;130.38
;Another Chance;5B;127.83
;Call on Me - Radio Mix;6B;126.30
;Breathe;2A;130.01
;My Feeling (Daddy's Prime Time Edit);9A;0.00
;We Are Your Friends - Justice Vs Simian;8A;123.01
;Modern Love - 2018 Remaster;8B;182.92
;No Coke;4A;193.24
;Vogue;1A;116.27
;Womanizer;12A;139.00
;Swoon;7A;123.98
;D.A.N.C.E;11A;112.97
;Call Your Girlfriend;4B;125.00
;Like a Prayer;7B;111.76
;Where's Your Head At;8B;127.83
;Telephone;4A;121.75
;Girls & Boys - Pet Shop Boys Remix, 2012 Remaster;4A;118.00
;JOY (Back On 74);2A;137.00
;Pon de Replay;11A;99.00
;It's My Life;8A;128.69
;Need You Tonight;5A;108.80
;Cry for You;12B;130.00
;With Every Heartbeat;9A;121.00
;Into the Groove;5A;116.50
;Right Here, Right Now;8A;124.60
;I Feel for You - Original;2B;130.00
;Get Down On It - Single Version;10A;110.10
;Trinity;12B;121.00
;Punkrocker (feat. Iggy Pop) - As featured in Superman;7A;141.90
;Beautiful;9A;101.00
;Give Me the Night;4A;110.50
;The Rockafeller Skank;6A;152.50
;Burnin';11A;124.20
;SexyBack (feat. Timbaland);8A;116.80
;Yours to Keep;7B;135.90
;Heaven;5B;138.00
;I Wanna Dance with Somebody (Who Loves Me);3B;118.80
;Red Alert (Jaxx Radio Mix);4A;126.80
;Toxic;5A;143.00
;Around the World;9B;121.20
;Spectrum (Say My Name) - Calvin Harris Remix;10A;126.00
;Flashback;8A;128.00
;Murder on the Dancefloor;12B;117.20
;Missing U;4B;120.00
;West End Girls - 2018 Remaster;9A;113.20
;Lady - Hear Me Tonight;3A;125.90
;Intro;4A;123.90
;Firestarter;11A;141.50
;Freed From Desire - prod. Molella, Phil Jay;7A;128.90
;The Logical Song;11A;144.00
;Honey;8A;116.00
;Lose Yourself to Dance (feat. Pharrell Williams);3A;100.10
;Cardiac Arrest (feat. Mapei);9B;136.00
;SOS;11A;137.00
;What's A Girl To Do - Sped Up Version;3A;144.00
;Gypsy Woman (La Da Dee La Da Da);7B;119.80
;Another Chance - Radio Edit;5B;129.80
;Virtual Insanity - Remastered 2006;2A;184.00
;Love Generation - Edit;3B;128.00
;Galvanize;6A;103.90
;Better Off Alone;1B;136.90
;I Remember (Strobelight Edit);10A;128.00
;Crazy In Love (feat. JAY-Z);6A;99.20
;Rock Your Body;8A;101.00
;Just The Way You Are;5B;129.90
;Get Lucky (feat. Pharrell Williams and Nile Rodgers);11A;116.00
;Cobrastyle (feat. Mad Cobra) - As featured in Superman;7A;176.70
